turbine_id,valid_time,available_at,wind_speed_ms,temperature_c,power_normalized
turbine-1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,3,-4,0.01
turbine-1,2026-01-30T19:00:00Z,2026-01-30T19:00:00Z,5,-5,0.08
turbine-1,2026-01-30T20:00:00Z,2026-01-30T20:00:00Z,7,-5,0.22
turbine-1,2026-01-30T21:00:00Z,2026-01-30T21:00:00Z,9,-6,0.45
turbine-1,2026-01-30T22:00:00Z,2026-01-30T22:00:00Z,11,-6,0.77
turbine-1,2026-01-30T23:00:00Z,2026-01-30T23:00:00Z,13,-7,0.98
turbine-2,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,3,-4,0.02
turbine-2,2026-01-30T19:00:00Z,2026-01-30T19:00:00Z,5,-5,0.07
turbine-2,2026-01-30T20:00:00Z,2026-01-30T20:00:00Z,7,-5,0.25
turbine-2,2026-01-30T21:00:00Z,2026-01-30T21:00:00Z,9,-6,0.49
turbine-2,2026-01-30T22:00:00Z,2026-01-30T22:00:00Z,11,-6,0.79
turbine-2,2026-01-30T23:00:00Z,2026-01-30T23:00:00Z,13,-7,0.96
